SNo,Startup Name,Industry/Sector,City,Investors Name,InvestmentType,Amount(USD),Date
562,policybazaar,SaaS,ahmedabad,"Soft Bank, SAIF Partners",Series B,N/A,2022-08-04
1140,Apna,Retail Tech,Kolkata,Kalaari,Debt Financing,"$30,000,000",2020/04/02
232,Razorpay,Gaming,mumbai,"Lightspeed Venture Partners, info edge ventures",Angel,"30,000,000",03-03-2022
104,Delhivery,Mobility,chennai,kalaari capital,Series C,N/A,27-Aug-2025
105,Acko,E-Commerce,Delhi,"Falcon Edge Capital, Lightspeed Venture Partners",Private Equity,"$3,300,000",08/06/2020
920,upGrad,Cleantech,Kolkata,Sequoia,Angel,"$50,000,000.00",23/02/2021
415,pine labs,InsurTech,Madras,"Y Combinator, blume ventures",Series C,"$1,900,000.00",28/03/2022
1449,,,,,,,
12,Khatabook,Cleantech,GGN,Tiger Global,Angel,Undisclosed,2020-08-09
624,Mamaearth,AgriTech,Hyderabad,Steadview Capital,Bridge,,2025-09-02
545,Zomato,,Gurgaon,accel india,Series A,Undisclosed,2020-07-06
93,FirstCry,Retail Tech,NCR,Steadview,Private Equity,N/A,2024/01/28
217,pharmeasy,AI/ML,NOIDA,Blume Ventures,Debt Financing,Undisclosed,13/09/2025
669,Dailyhunt,Retail Tech,delhi,"Sequoia Capital India, Matrix Partners",Series B,"17,000,000",2023-11-19
853,Pine Labs,E-Commerce,GGN,"Softbank Vision Fund, Falcon Edge Capital",Angel,"USD 30,000,000",2025-05-19
1007,CRED,AgriTech,Pune,"tiger global, nexus partners",Series D,"$5,000,000",2024/02/13
351,postman,Mobility,Bangalore,"Kalaari, sequoia capital india",Series B,"USD 10,000,000",07-20-2021
1094,Unacademy,HealthTech,Mumbai,"Falcon Edge Capital, sequoia capital india",Debt Financing,"10,000,000",2025-02-04
1438,Chargebee,Retail Tech,NOIDA,"Blume Ventures, nexus partners",Debt Financing,N/A,
1181,MobiKwik,FoodTech,delhi,Chiratae,Angel,N/A,09-Sep-2024
1121,Physicswallah,Cleantech,PUNE,"Nexus Venture Partners, Chiratae Ventures",Series B,"$2,900,000",2022-05-21
1214,APNA,Cleantech,New delhi,info edge ventures,Series A,"$30,000,000",2023/05/07
1070,CarDekho,HealthTech,delhi,Kalaari Capital,Pre-Seed,Undisclosed,2024-07-20
583,PolicyBazaar,InsurTech,Chennai,"Blume Ventures, Accel",Series E,"$10,000,000",21/01/2021
195,Delhivery,HealthTech,Pune,IDG Ventures,Series C,N/A,2025-10-03
785,FRESHWORKS,FoodTech,Gurugram,"Lightspeed, Tiger Global Management",Series A,N/A,09/06/2024
373,Moglix,Media & Entertainment,Noida,"Chiratae Ventures, Nexus Venture Partners",Bridge,Undisclosed,06-Mar-2021
1382, Postman ,E-Commerce,pune,"YC, blume ventures",Angel,"900,000",2025/09/19
645,Khatabook,AgriTech,BLR,"Steadview Capital, Lightspeed Venture Partners",Series E,"$19,000,000",03/01/2023
742,Physicswallah,EdTech,Kolkata,"Info Edge, Matrix Partners India",Angel,"1,200,000",31/07/2025
291,Acko,AgriTech,Chennai,"Matrix Partners India, Kalaari",Debt Financing,"USD 20,000,000",07-19-2021
1387,Unacademy,Mobility,Gurugram,blume ventures,Pre-Seed,N/A,04-26-2023
1430,CarDekho,Retail Tech,chennai,Matrix Partners India,Debt Financing,Undisclosed,
969,FirstCry,Cleantech,Gurugram,"Elevation, Tiger Global Management",Private Equity,N/A,11/02/2021
1106,Dailyhunt,HealthTech,,sequoia capital india,Series B,"4,000,000",26-Feb-2023
369,BYJU'S,Cleantech,Chennai,y combinator,Debt Financing,"₹315,400,000",2020-06-26
1279,Dunzo,EdTech,Ahmedabad,kalaari capital,Private Equity,"600,000",11/01/2021
474,Zetwerk,SaaS,Ahmedabad,"Nexus Venture Partners, Tiger Global",Series A,N/A,2023-07-19
167,Pine Labs,Media & Entertainment,Hyderabad,Lightspeed Venture Partners,Series D,Undisclosed,2024/02/17
1006,Moglix,InsurTech,Noida,Nexus Venture,Angel,"2,500,000",23-Feb-2020
581,Urban Company,Logistics,Madras,"sequoia capital india, Blume",Series A,"₹33,200,000",14-Feb-2022
883,URBAN COMPANY,Logistics,Gurugram,"tiger global, nexus partners",Debt Financing,"₹49,800,000",
241,OYO,FoodTech,ahmedabad,"info edge ventures, blume ventures",Series A,"1,500,000",08/03/2020
761,Zomato,EdTech,Hyderabad,"Accel, Steadview Capital",Series D,Undisclosed,04-29-2025
180,Rebel Foods,Cleantech,Hyderabad,"Accel, Elevation",Series D,"$4,700,000",
646,zetwerk,AgriTech,hyderabad,Info Edge,Pre-Seed,"$4,500,000",2021/10/25
893,CRED,Cleantech,chennai,"IDG Ventures, matrix partners",Debt Financing,"20,000,000",17/02/2024
560,OYO,EdTech,pune,"Falcon Edge Capital, Nexus Venture Partners",Bridge,N/A,02-01-2020
1454,Licious,AgriTech,NOIDA,"Accel Partners, Tiger Global",Series B,"₹132,800,000",14-Nov-2021
136,Zepto,Logistics,chennai,sequoia capital india,Bridge,"2,400,000",06-Feb-2022
376,Chargebee,FinTech,NCR,"SoftBank, Matrix Partners",Angel,"USD 17,000,000",17-Apr-2023
320,Dailyhunt,Cleantech,New Delhi,"Chiratae Ventures, Nexus Venture",Angel,"$900,000",12-Aug-2021
11,Licious,AgriTech,Bangalore,Accel Partners,Seed,"₹182,600,000",11/06/2025
1422,Infra.Market,FoodTech,noida,tiger global,Series D,Undisclosed,26-Aug-2025
184,Rebel Foods,FoodTech,ahmedabad,Lightspeed Venture Partners,Series C,"₹1,494,000,000",03/05/2023
479,cars24,AgriTech,ahmedabad,blume ventures,Seed,"$500,000",02/08/2021
950,Apna,Cleantech,ahmedabad,"Lightspeed Venture Partners, SAIF Partners",Series E,"USD 4,300,000",31-Dec-2025
35,,,,,,,
609,Licious,Mobility,chennai,Sequoia Capital,Seed,N/A,2020/03/15
1133,Darwinbox,HealthTech,Hyderabad,"accel india, Sequoia Capital India",Series B,"2,100,000",12-28-2024
1403,CarDekho,FinTech,chennai,"Nexus Venture Partners, Matrix Partners India",Bridge,Undisclosed,01-19-2022
423,innovaccer,Real Estate Tech,Madras,falcon edge,Series D,"₹4,150,000,000",11-05-2025
